"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"196","0.06215222676595052","0.00188825541196","0.000844453492004","0.0604506121311 - 0.0638538414008","0.0599814899575 - 0.0643229635744"
"197","0.0607604185740153","0.000878708125297","0.000392970220109","0.0599685645715 - 0.0615522725766","0.0597502564639 - 0.0617705806842"
"198","0.06528643767038982","0.00305700230045","0.00136713299023","0.0625315985632 - 0.0680412767776","0.0617721104375 - 0.0688007649033"
"199","0.06048846244812012","0.0004281879753","0.000191491483984","0.0601025978449 - 0.0608743270513","0.0599962179175 - 0.0609807069787"
"200","0.06243431568145752","0.00189359046431","0.000846839399948","0.0607278933267 - 0.0641407380362","0.0602574457014 - 0.0646111856615"
"201","0.061485091845194496","0.000629210863383","0.000281391652541","0.0609180740537 - 0.0620521096367","0.0607617515742 - 0.0622084321162"
"202","0.06444541613260905","0.00249916586684","0.00111766095306","0.062193275248 - 0.0666975570173","0.0615723771872 - 0.067318455078"
"203","0.06390154361724854","0.00260688732099","0.00116583545188","0.0615523287871 - 0.0662507584474","0.0609046681802 - 0.0668984190543"
"204","0.0658029317855835","0.00175132728566","0.000783217372318","0.064224710894 - 0.0673811526771","0.0637896074342 - 0.067816256137"
"205","0.06517402331034343","0.00242020039457","0.00108234652028","0.062993042716 - 0.0673550039047","0.0623917630044 - 0.0679562836163"
"206","0.06677877902984619","0.00265507836303","0.00118738714106","0.0643861365035 - 0.0691714215562","0.063726503212 - 0.0698310548477"
"207","0.0661772092183431","0.00219749942914","0.000982751620816","0.0641969171641 - 0.0681575012726","0.063650965752 - 0.0687034526847"
